"МАКСИДИН 0,4 (MAXIDIN 0,4) раствор д/инъекций";"Раствор для инъекций бесцветный, прозрачный."
"БЕАФАР ОШЕЙНИК ИНСЕКТОАКАРИЦИДНЫЙ ДЛЯ СОБАК И КОШЕК С.О.С. (BEAPHAR FLEA & TICK COLLAR FOR DOG AND CAT S.O.S.)";"Инсектоакарицидный ошейник в виде полихлорвиниловой ленты белого цвета с фиксатором, длиной 60 и 70 см для собак и 35 см – для кошек."
"ЭНРОМАГ® (ENROMAG) раствор д/инъекций 50 мг";"Раствор для инъекций."
"ЭНРОМАГ® (ENROMAG) раствор д/инъекций 100 мг";"Раствор для инъекций."
"ЭНДОМЕТРАМАГ-БИО® (ENDOMETRAMAG-BIO)";"Раствор для внутриматочного введения."
"ЦИПРОМАГ®-О (CIPROMAG-O)";"Раствор для перорального применения от светло-желтого до желтого цвета; допускается незначительная опалесценция."
"ЦЕФТИМАГ® (CEFTIMAG) сусп. д/инъекций";"Суспензия для инъекций от белого до бежевого цвета."
"ФОЛЛИМАГ® (FOLLIMAG) лиофилизат д/пригот. р-ра д/инъекций 500";"Лиофилизат для приготовления раствора для инъекций в виде пористой массы от белого до светло-коричневого цвета."
"ФОЛЛИМАГ® (FOLLIMAG) лиофилизат д/пригот. р-ра д/инъекций 1000";"Лиофилизат для приготовления раствора для инъекций в виде пористой массы от белого до светло-коричневого цвета."
"СУПРИМИЦИН® (SUPRIMYCIN) раствор д/инъекций";"Раствор для инъекций прозрачный, бледно-желтого цвета."
"ПНЕВМОСТОП® (PNEUMOSTOP) раствор д/инъекций";"Раствор для инъекций прозрачный, от светло-желтого до желтого цвета."
"ПИГУЛИН® (PIGULIN®) 1 доза";"Лиофильно высушенная масса для приготовления раствора для инъекций пористая, белого или светло-коричневого цвета."
"ПИГУЛИН® (PIGULIN®) 5 доз";"Лиофильно высушенная масса для приготовления раствора для инъекций пористая, белого или светло-коричневого цвета."
"МИКСОФЕРОН® РАСТВОР ДЛЯ ИНЪЕКЦИЙ (MIXOFERON® SOLUTIO PRO INJECTIONIBUS) раствор д/инъекций 5 доз";"Раствор для инъекций бесцветный, прозрачный."
"МИКСОФЕРОН® РАСТВОР ДЛЯ ИНЪЕКЦИЙ (MIXOFERON® SOLUTIO PRO INJECTIONIBUS) раствор д/инъекций 10 доз";"Раствор для инъекций бесцветный, прозрачный."
"МЕТРАМАГ® (METRAMAG) раствор д/инъекций";"Раствор для инъекций."
"МАГЭСТРОФАН® (MAGESTROFAN) раствор д/инъекций";"Раствор для инъекций прозрачный, от светло-желтого до желтого цвета."
"МАГКОЛИСТИН® (MAGCOLISTIN) раствор д/перорального применения";"Раствор для перорального применения в виде прозрачной жидкости от светло-желтого до желтого цвета."
"КОМУЛИН (COMULIN) раствор д/инъекций";"Раствор для инъекций прозрачный, от светло-желтого до желтого цвета."
"ДОКСИМАГ®-О (DOXYMAG-O)";"Раствор для орального применения."
"БРОМКОЛИН®-О (BROMCOLIN-O) раствор д/перорального применения";"Раствор для перорального применения."
"БАКТИМАГ-О® (BACTIMAG-O) раствор д/перорального применения";"Раствор для перорального применения желтого цвета, прозрачный; допускается легкая опалесценция."
"АЦИЛОМАГ® (ACILOMAG) сусп. д/инъекций";"Суспензия для инъекций."
"АМОКСИМАГ® (AMOXIMAG) сусп. д/инъекций";"Суспензия для инъекций маслянистая, бледно-желтого цвета, при хранении допускается расслоение суспензии, исчезающее при взбалтывании."
"АРГУМИСТИН® (ARGUMISTIN®) раствор д/приема внутрь и местного применения 0.001%";"Раствор для местного и перорального применения в виде опалесцирующей жидкости от желтого до светло-коричневого цвета, возможно образование незначительного осадка, исчезающего при встряхивании."
"АРГУМИСТИН® (ARGUMISTIN®) раствор д/приема внутрь и местного применения 0.005%";"Раствор для местного, наружного, внутриматочного и интрацистернального применения в виде опалесцирующей жидкости от желтого до светло-коричневого цвета, возможно образование незначительного осадка, исчезающего при встряхивании."
"ЭЛЬВИТА-УДИВИТ (ALVITA-UDIVIT)";"Раствор для инъекций (гомеопатический) в виде прозрачной жидкости бесцветного или слегка желтоватого цвета."
"СОМАТИК-ЭКСПЕРТ (SOMATIC-EXPERT)";"Раствор для диагностики в виде прозрачной жидкости от светло-розового до темно-красного цвета с возможным зеленоватым или синеватым оттенком, без посторонних примесей."
"ЦИФЛОН (CIFLON) раствор д/наружного применения";"Раствор для наружного применения в виде маслянистой прозрачной жидкости от светло-желтого до темно-коричневого цвета."
"ФЛУКСИРОЛ (FLUXIROL) раствор д/инъекций";"Раствор для инъекций прозрачный, бесцветный или желтоватого цвета."
"ТЕТРАВИТФЕРОН-Б (TETRAVITFERON-B) раствор д/инъекций";"Раствор для инъекций в виде жидкости от желто-зеленого до коричневого цвета, со специфическим запахом, без видимых механических примесей; допускается опалесценция."
"УТЕРОФУР (UTEROFUR) сусп. д/инъекций";"Суспензия для внутриматочного введения от светло-желтого до коричневого цвета."
"РЕЦЕФУР (RECEFUR) сусп. д/инъекций";"Суспензия для инъекций от кремового до коричневого цвета."
"ПЕНОЦЕФУР (PENOCEFUR)";"Таблетки для внутриматочного введения от белого до кремового цвета, цилиндрические, с закругленными концами."
"ИНТЕРФЕРОН СВИНОЙ РЕКОМБИНАНТНЫЙ (RECOMBINANT PORCINE INTERFERON) раствор д/инъекций";"Раствор для инъекций в виде не летучей опалесцирующей жидкости от бесцветного до зеленовато-желтого цвета, без видимых механических примесей и плесени."
"ИНТЕРФЕРОН БЫЧИЙ РЕКОМБИНАНТНЫЙ (RECOMBINANT BOVINE INTERFERON) раствор д/инъекций";"Раствор для инъекций в виде не летучей опалесцирующей жидкости от бесцветного до зеленовато-желтого цвета, без видимых механических примесей и плесени."
"ДЕКТОМЕКТИН (DECTOMECTIN) раствор д/инъекций";"Раствор для инъекций бесцветный или желтого цвета."
"ФЕЛИФЕРОН® РАСТВОР ДЛЯ ИНЪЕКЦИЙ (SOLUTIO FELIFERONI PRO INJECTIONIBUS) раствор д/инъекций";"Раствор для инъекций бесцветный, прозрачный или слабо опалесцирующий."
"БЕЛКОХЕЛП (BELKOHELP) порошок: , 0.01 %, 0.1 %, 0.17 %, 0.3 %";"Порошок от светло-коричневого до коричневого цвета, сыпучий, без плотных, нерассыпающихся при надавливании комков или гранул, со специфическим запахом."
"БЕЛКОХЕЛП (BELKOHELP) порошок: 0.01 %, 0.1 %, 0.17 %, 93.5 %";"Порошок от светло-коричневого до коричневого цвета, сыпучий без плотных, нерассыпающихся при надавливании комков или гранул, со специфическим запахом."
"8 В 1 ЭКСЕЛЬ ДЕТЕР (8 IN 1 EXCEL DETER) таб.";"Таблетки бело-бежевого цвета, плоские, без риски; массой 0.42 г."
"МЕТАКАМ® (METACAM®) раствор д/инъекций";"Раствор для инъекций."
"КУСТОВАК® D (CUSTOVAC® D)";"Порошок синего цвета."
"ИНГЕЛЬВАК® АУЕСКИ MLV (INGELVAC® AUJESZKY MLV)";"Лиофилизированная таблетка в виде сухой пористой массы белого цвета; растворитель - бесцветная прозрачная жидкость."
"ИНГЕЛЬВАК® HP-1 (INGELVAC® HP-1)";"Эмульсия для инъекций белого цвета."
"ИНГЕЛЬВАК® APPX (INGELVAC® APPX)";"Суспензия для инъекций светло-коричневого цвета; при хранении допускается выпадение осадка, который легко ресуспендируется при взбалтывании."
"ИНГЕЛЬВАК ЦиркоФЛЕКС® (INGELVAC CircoFLEX®)";"Суспензия для инъекций светло-желтого цвета."
"ИНГЕЛЬВАК МикоФЛЕКС® (INGELVAC MycoFLEX®)";"Суспензия для инъекций от розового до коричневого цвета, равномерная, слегка опалесцирующая."
"ВОЛЬВАК® АС Плюс+ND+IB+EDS KV (VOLVAC® AC Plus+ND+IB+EDS KV)";"Эмульсия для инъекций однородная, белого цвета; при хранении допускается незначительное расслоение эмульсии, однородность которой восстанавливается при взбалтывании."
"ВОЛЬВАК® АС Плюс (VOLVAC® AC Plus)";"Эмульсия для инъекций однородная, белого цвета; при хранении допускается незначительное расслоение эмульсии, однородность которой восстанавливается при взбалтывании."
"ВОЛЬВАК® ND+IB+EDS KV (VOLVAC® ND+IB+EDS KV)";"Эмульсия для инъекций однородная, белого цвета; при хранении допускается незначительное расслоение эмульсии, однородность которой восстанавливается при взбалтывании."
"ВОЛЬВАК® ND LaSota MLV (VOLVAC® ND LaSota MLV)";"Лиофилизированная масса (вакцина) белого или бежевого цвета с розовым оттенком, сухая, пористая; раствор (разбавитель) – прозрачная жидкость синего цвета."
"ВОЛЬВАК® ND Conc. KV (VOLVAC® ND Conc. KV)";"Эмульсия для инъекций однородная, белого цвета; при хранении допускается незначительное расслоение эмульсии, однородность которой восстанавливается при взбалтывании."
"ВОЛЬВАК® IBD MLV (VOLVAC® IBD MLV)";"Лиофилизированная масса (сухая масса) пористая, белого или бежевого цвета с розовым оттенком; растворитель - жидкость синего цвета."
"ВОЛЬВАК® IB Mass MLV (VOLVAC® IB Mass MLV)";"Лиофилизированная масса (вакцина) белого или бежевого цвета с розовым оттенком, сухая, пористая; раствор (разбавитель) – прозрачная жидкость синего цвета."
"8 В 1 ЭКСЕЛЬ ПИВНЫЕ ДРОЖЖИ (8 IN 1® EXCEL® BREWER'S YEAST) таб. 0.4 мг";"Таблетки от светло-серого до темно-серого цвета с вкраплениями, двояковыпуклые, с риской с одной стороны, со своеобразным запахом; средней массой 0.4 г диаметром 9.9-10.2 мм (для собак и кошек) и 2.1 г диаметром 19.8-23 мм (для крупных пород собак)."
"8 В 1 ЭКСЕЛЬ ПИВНЫЕ ДРОЖЖИ (8 IN 1® EXCEL® BREWER'S YEAST) таб. 2.1 мг";"Таблетки от светло-серого до темно-серого цвета с вкраплениями, двояковыпуклые, с риской с одной стороны, со своеобразным запахом; средней массой 0.4 г диаметром 9.9-10.2 мм (для собак и кошек) и 2.1 г диаметром 19.8-23 мм (для крупных пород собак)."
"8 В 1 ЭКСЕЛЬ МУЛЬТИВИТАМИНЫ ДЛЯ СОБАК МЕЛКИХ ПОРОД (8 IN 1® EXCEL® MULTI VITAMIN - SMALL BREED) таб.";"Таблетки двояковыпуклые, с вкраплениями от светло-серого до темно-серого цвета, со специфическим запахом, с риской с одной стороны; средней массой 1.3 г, диаметром 16.0-16.4 мм."
"8 В 1 ЭКСЕЛЬ МОБАЙЛ ФЛЕКС ПЛЮС (8 IN 1® EXCEL® MOBILE FLEX(+))";"Порошок для орального применения от светло-серого до темно-серого цвета с видимыми включениями, со специфическим запахом, нерастворимый в воде."
"8 В 1 ЭКСЕЛЬ КАЛЬЦИЙ (8 IN 1® EXCEL® CALCIUM) таб.";"Таблетки от светлого до светло-серого цвета с вкраплениями, двояковыпуклые, со специфическим запахом; средней массой 0.5 г и диаметром 9.9-10.2 мм."
"8 В 1 ЭКСЕЛЬ ГЛЮКОЗАМИН+МСМ (8 IN 1 EXCEL GLUCOSAMINE+MSM) таб.";"Таблетки светло-коричневого цвета, плоские; массой 3.2 г."
"8 В 1 ЭКСЕЛЬ ГЛЮКОЗАМИН (8 IN 1 EXCEL GLUCOSAMINE) таб.";"Таблетки светло-коричневого цвета, плоские, без риски, растворимые в воде; массой 3.1 г."
"БИОСЕПТИН (BIOSEPTIN)";"Мазь для наружного применения от светло-желтого до коричневого цвета, однородная, желеобразной консистенции, со специфическим запахом агара."
"ВЕТОМ 4 (VETOM 4)";"Порошок для орального применения мелкодисперсный, белого цвета, без запаха, растворимый в воде, с образованием осадка белого цвета."
"ВЕТОМ 3 (VETOM 3)";"Порошок для орального применения мелкодисперсный, белого цвета, без запаха, растворимый в воде, с образованием осадка белого цвета."
"ВЕТОМ 2 (VETOM 2)";"Порошок для орального применения мелкодисперсный, белого цвета, без запаха, растворимый в воде, с образованием осадка белого цвета."
"ВЕТОМ 1.1 (VETOM 1.1)";"Порошок белого цвета, мелкодисперсный, без запаха, растворимый в воде, с образованием осадка белого цвета."
"ГЛИКОПИН® (GLIKOPIN®) таб.";"Таблетки белого цвета, круглые, плоскоцилиндрические, с фаской."
"ФОРВЕТ® (FORVET) раствор д/инъекций";"Раствор для инъекций прозрачный или слегка опалесцирующий, бесцветный или со светло-коричневым оттенком."
"АСД фракция 2 (ASD fraction 2)";"Раствор для наружного, перорального, интравагинального и внутриматочного применения в виде жидкости от желтого до красновато-коричневого цвета, со специфическим запахом, хорошо смешивающейся с водой, с наличием хлопьевидного осадка от серого до черного цвета."
"ВЕЛЕС 6.59 (VELES 6.59)";"Жидкость от бежевого до темно-коричневого цвета, без запаха; допускается выпадение осадка, разбивающегося при встряхивании."
"ФОРТЕКОР® ТАБЛЕТКИ (FORTEKOR® TABLETS) таб. 5 мг";"Таблетки от бежевого до светло-коричневого цвета, овальные, имеющие риски (насечки) с обеих сторон."
"ФОРТЕКОР® ТАБЛЕТКИ (FORTEKOR® TABLETS) таб. 20 мг";"Таблетки от бежевого до светло-коричневого цвета, овальные, имеющие риски (насечки) с обеих сторон."
"ПРАК-ТИК® (PRAC-TIC®) раствор д/наружного применения";"Раствор для наружного применения бесцветный или желтого цвета."
"ИММУНОФАН® (IMMUNOFAN) раствор д/инъекций";"Раствор для инъекций прозрачный, бесцветный, без запаха."
"ТИЛОЗИН (TILOZIN) раствор д/инъекций 50 мг";"Раствор для инъекций прозрачный, слегка вязкий, светло-желтого цвета."
"ТИЛОЗИН (TILOZIN) раствор д/инъекций 200 мг";"Раствор для инъекций прозрачный, слегка вязкий, светло-желтого цвета."
"ДОКСИЛОКС® (DOXYLOX) раствор д/инъекций";"Раствор для инъекций прозрачный, слегка вязкий, от желто-коричневого до красно-коричневого цвета."
"БУРСИН ПЛЮС (BURSINE PLUS)";"Лиофилизат для приготовления раствора для применения методом выпаивания в виде сухой однородной пористой массы розового или светло-коричневого цвета; хорошо ресуспендируется в воде с образованием гомогенной взвеси."
"ПУЛВАК IB ПРАЙМЕР (POULVAC IB PRIMER)";"Масса лиофилизированная сухая, пористая, однородная, светло-желтого цвета, легко растворимая в воде без образования хлопьев и осадка."
"СУВАКЦИН MH-ОДИН (SUVAXYN MH-ONE) сусп. д/инъекций";"Суспензия для инъекций от бежевого до светло-коричневого цвета."
"ИМПРОВАК (IMPROVAC) раствор д/инъекций";"Раствор для инъекций прозрачный, бесцветный."
"АВАТЕК 150G (AVATEC 150G)";"Порошок для перорального применения светло-коричневого цвета, микрогранулированный, сыпучий, не образующий пыли, нерастворимый в воде."
"НАКСЕЛ (NAXCEL) сусп. д/инъекций";"Суспензия для инъекций белого цвета."
"ДРАКСИН (DRAXXIN) раствор д/инъекций: 100 мг";"Раствор для инъекций прозрачный, бесцветный."
"МЕКСИДОЛ-ВЕТ® (MEXIDOL-VET) таб. 50 мг";"Таблетки от белого до белого с кремовым оттенком цвета, с риской, массой 250 мг."
"МЕКСИДОЛ-ВЕТ® (MEXIDOL-VET) таб. 125 мг";"Таблетки от белого до белого с кремовым оттенком цвета, с риской, массой 300 мг."
"МЕКСИДОЛ-ВЕТ® (MEXIDOL-VET) раствор д/инъекций 25 мг";"Раствор для инъекций бесцветный или слегка желтоватого цвета, прозрачный."
"МЕКСИДОЛ-ВЕТ® (MEXIDOL-VET) раствор д/инъекций 50 мг";"Раствор для инъекций бесцветный или слегка желтоватого цвета, прозрачный."
"ФОСПРЕНИЛ (PHOSPRENYL)";"Стерильный раствор для инъекций прозрачный или слабо опалесцирующий, бесцветный или с желтоватым оттенком."
"ГАМАВИТ (GAMAVIT)";"Стерильный раствор для инъекций красного цвета, прозрачный."
"ГАМАПРЕН (GAMAPREN)";"Стерильный раствор прозрачный или слабо опалесцирующий, бесцветный или с желтоватым оттенком."
